title,release_date,popularity
Minions,2015-06-17,547.488298
Wonder Woman,2017-05-30,294.337037
Beauty and the Beast,2017-03-16,287.253654
Baby Driver,2017-06-28,228.032744
Big Hero 6,2014-10-24,213.849907
Deadpool,2016-02-09,187.860492
Guardians of the Galaxy Vol. 2,2017-04-19,185.330992
Avatar,2009-12-10,185.070892
John Wick,2014-10-22,183.870374
Gone Girl,2014-10-01,154.801009
The Hunger Games: Mockingjay - Part 1,2014-11-18,147.098006
War for the Planet of the Apes,2017-07-11,146.161786
Captain America: Civil War,2016-04-27,145.882135
Pulp Fiction,1994-09-10,140.950236
Pirates of the Caribbean: Dead Men Tell No Tales,2017-05-23,133.82782
The Dark Knight,2008-07-16,123.167259
Blade Runner,1982-06-25,96.272374
The Avengers,2012-04-25,89.887648
Captain Underpants: The First Epic Movie,2017-06-01,88.561239
The Circle,2017-04-27,88.439243
The Bad Batch,2017-06-23,78.8072
The Maze Runner,2014-09-10,76.93789
Dawn of the Planet of the Apes,2014-06-26,75.385211
Alien: Covenant,2017-05-09,72.884078
Ghost in the Shell,2017-03-29,68.726676
Boyka: Undisputed IV,2016-08-01,67.955052
Whiplash,2014-10-10,64.29999
Fight Club,1999-10-15,63.869599
What Happened to Monday,2017-08-18,60.581223
Wish Upon,2017-07-07,59.578823
Thor: Ragnarok,2017-10-25,57.283628
Logan,2017-02-28,54.581997
Guardians of the Galaxy,2014-07-30,53.291601
47 Meters Down,2017-06-15,52.854103
The Shawshank Redemption,1994-09-23,51.645403
The Last King,2016-02-12,50.949523
The Dark Tower,2017-08-03,50.903593
John Wick: Chapter 2,2017-02-08,49.247505
The Fate of the Furious,2017-04-12,48.573287
Forrest Gump,1994-07-06,48.307194
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,47.326665
Security,2017-03-04,47.114366
The Legend of Tarzan,2016-06-29,45.38298
King Arthur: Legend of the Sword,2017-04-27,44.251369
Doctor Strange,2016-10-25,43.847654
Suicide Squad,2016-08-02,42.965027
Star Wars,1977-05-25,42.149697
Ted 2,2015-06-25,42.061481
Schindler's List,1993-11-29,41.725123
Rise of the Planet of the Apes,2011-08-03,41.613762
Maze Runner: The Scorch Trials,2015-09-09,41.225769
The Godfather,1972-03-14,41.109264
Fantastic Beasts and Where to Find Them,2016-11-16,41.051421
Spirited Away,2001-07-20,41.048867
Wind River,2017-08-03,40.796775
Now You See Me 2,2016-06-02,39.540653
Life Is Beautiful,1997-12-20,39.39497
Transformers: The Last Knight,2017-06-21,39.186819
Before I Fall,2017-03-02,38.995136
Harry Potter and the Philosopher's Stone,2001-11-16,38.187238
Girls Trip,2017-07-21,37.964872
2:22,2017-06-29,37.484577
Avengers: Age of Ultron,2015-04-22,37.37942
Get Out,2017-02-24,36.894806
Psycho,1960-06-16,36.826309
Fury,2014-10-15,36.713807
Despicable Me 3,2017-06-15,36.631519
The Godfather: Part II,1974-12-20,36.629307
Rogue One: A Star Wars Story,2016-12-14,36.567575
Lucy,2014-07-14,36.447603
Life,2017-03-22,36.263803
Miss Peregrine's Home for Peculiar Children,2016-09-28,36.262655
The Beguiled,2017-06-23,36.26051
Operation Mekong,2016-09-30,35.972581
Baywatch,2017-05-12,35.637691
One Flew Over the Cuckoo's Nest,1975-11-18,35.529554
Thor: The Dark World,2013-10-29,34.905447
A Silent Voice,2016-09-17,34.852055
Your Name.,2016-08-26,34.461252
Dilwale Dulhania Le Jayenge,1995-10-20,34.457024
Me Before You,2016-06-02,34.34759
The Mother of Tears,2007-09-06,34.145916
The Twilight Saga: Eclipse,2010-06-23,34.047399
Pacific Rim,2013-07-11,33.949359
The Mummy,2017-06-06,33.704935
The Emoji Movie,2017-07-28,33.694599
Rescue Under Fire,2017-03-10,33.536359
Creed,2015-11-25,33.449723
The Matrix,1999-03-30,33.366332
Fifty Shades of Grey,2015-02-11,33.068431
Jurassic World,2015-06-09,32.790475
Interstellar,2014-11-05,32.213481
Once Upon a Time in America,1984-02-16,32.182851
The Lord of the Rings: The Fellowship of the Ring,2001-12-18,32.070725
Edge of Tomorrow,2014-05-27,31.982986
The Autopsy of Jane Doe,2016-12-21,31.772396
The Hobbit: The Battle of the Five Armies,2014-12-10,31.718977
